hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,name,email,phone-number,credit_card,reservation_status_date
City Hotel,0,5,2017,October,42,14,2,0,2,2.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,179.0,0,Transient,40.79,0,3,Check-Out,Renee Johnson,kevin75@example.net,(651)772-3537x094,6504371562679137,2025-07-17
City Hotel,0,58,2017,June,25,24,2,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,9.0,179.0,0,Transient,124.75,0,2,Check-Out,Scott Wood,ojones@example.org,(653)928-4873,30207656856650,2026-01-20
City Hotel,1,171,2017,June,24,10,0,1,1,0.0,0,BB,,Corporate,Corporate,0,0,0,A,A,1,No Deposit,15.0,250.0,0,Transient,51.94,0,0,Canceled,Sherri Logan,lindsey68@example.com,938-424-5250x705,6526207249373252,2025-06-27
Resort Hotel,1,276,2017,March,13,28,4,10,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241.0,179.0,0,Transient,252.0,0,1,Canceled,Cathy Barnes,davewilliams@example.com,+1-981-522-1552,6011768382066815,2025-11-12
City Hotel,1,143,2017,April,16,15,1,4,2,0.0,0,SC,BRA,Direct,Direct,0,0,0,A,B,0,No Deposit,12.0,179.0,0,Transient,206.2,0,0,Canceled,Amy Sanders,paulphillips@example.net,(611)295-6915x95918,345902289203086,2024-08-05
Resort Hotel,0,1,2017,December,51,19,1,2,2,0.0,0,BB,PRT,Complementary,Corporate,1,0,0,A,K,0,No Deposit,15.0,331.0,0,Transient,0.0,0,0,Check-Out,Lee Perez,kmercado@example.com,001-585-827-0458x49286,213145675037747,2025-06-03
City Hotel,0,37,2017,November,47,24,0,3,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,26.0,179.0,0,Transient-Party,79.21,1,1,Check-Out,Michael Leonard,xrice@example.net,2436047583,4894469531334066,2024-12-01
City Hotel,0,9,2017,June,23,4,2,2,2,0.0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,34.0,179.0,0,Transient,136.09,0,0,Check-Out,Cody Thompson,jeanneaguirre@example.net,001-586-362-7177x860,4845804386922,2025-10-09
Resort Hotel,1,9,2017,November,47,20,1,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,141.0,179.0,0,Transient,81.34,0,0,No-Show,Victor Yates,leemichael@example.net,365.642.3777x9376,180044594469934,2025-07-13
Resort Hotel,1,49,2017,April,16,19,2,5,2,0.0,0,HB,CHE,Direct,Direct,0,0,0,E,E,0,No Deposit,11.0,179.0,0,Transient,202.09,0,1,Canceled,Stanley Benson,wesley72@example.com,+1-568-723-3504x2424,6011866605033446,2025-12-09
City Hotel,0,402,2017,March,12,18,1,2,2,0.0,0,Undefined,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,29.0,179.0,0,Transient,127.2,0,0,Check-Out,James Gallagher,erinneal@example.com,781-459-9444,30060716720782,2024-08-26
Resort Hotel,0,47,2017,December,50,12,2,5,3,1.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,238.0,179.0,0,Transient,136.75,0,3,Check-Out,Jeanette Garcia,austin27@example.net,+1-334-597-6585x014,3531990132538400,2024-07-15
City Hotel,1,108,2017,May,19,10,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,179.0,63,Transient-Party,82.62,0,0,Canceled,Michael Garcia,obrienpaul@example.org,200-961-8266x568,213163272849919,2025-07-19
Resort Hotel,0,0,2017,August,32,7,2,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,179.0,0,Transient,64.31,1,1,Check-Out,William Gordon,reesegilbert@example.net,(710)262-8574x759,30079539596989,2025-06-28
City Hotel,0,93,2017,July,28,9,2,5,2,0.0,0,BB,SWE,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,34.0,179.0,0,Transient-Party,102.89,0,0,Check-Out,Kim Holmes,holsen@example.net,532-852-6023x352,4464615626236827591,2025-05-30
City Hotel,0,1,2017,December,51,20,1,2,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,B,0,No Deposit,22.0,179.0,0,Transient,142.23,0,2,Check-Out,Anthony Hodges,burnsryan@example.com,(830)467-5354,4259177741960724,2024-07-01
Resort Hotel,0,83,2017,August,33,19,0,5,1,0.0,0,Undefined,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,314.0,179.0,0,Transient-Party,87.62,0,0,Check-Out,Alexis Wells,ashley70@example.com,8338190166,370741342220325,2024-11-03
City Hotel,0,94,2017,December,49,5,2,2,2,1.0,0,BB,,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,8.0,179.0,0,Transient,86.61,0,2,Check-Out,Jennifer Dawson,beth90@example.net,001-257-464-9791,213126735805380,2025-09-17
City Hotel,0,146,2017,November,46,13,1,3,1,0.0,0,BB,GBR,Online TA,TA/TO,1,0,0,A,A,0,No Deposit,9.0,179.0,0,Transient,81.66,0,1,Check-Out,Bethany Baxter MD,hartrichard@example.net,(410)756-3254x293,30486876481628,2025-08-19
Resort Hotel,0,266,2017,April,16,21,2,5,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,1.0,179.0,0,Contract,51.81,0,1,Check-Out,Teresa Wallace,jeffrey35@example.com,001-645-751-3108,3503004323847259,2025-09-19
City Hotel,1,97,2017,August,32,6,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,145.0,179.0,0,Transient-Party,80.84,0,0,No-Show,Alexis Pham,jacobcook@example.org,432.396.2510x8661,4329140683826853,2025-12-20
City Hotel,1,101,2017,December,52,24,1,1,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,238.0,179.0,0,Transient,230.53,0,1,Check-Out,Zachary Ortiz,charlesjones@example.org,(209)667-6323,3542136838652981,2025-04-24
Resort Hotel,0,1,2017,November,44,3,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,33.0,179.0,0,Group,3.5,0,2,Check-Out,Christopher Burnett,csmith@example.org,001-999-240-8979x7747,3585374306685153,2025-02-24
Resort Hotel,1,264,2017,July,30,27,2,5,2,0.0,0,HB,PRT,Groups,Corporate,0,0,0,A,A,2,No Deposit,41.0,179.0,0,Transient,52.77,0,0,Canceled,Nicholas Calhoun,medinadonald@example.org,+1-861-731-6818x326,4268600869267894,2024-10-28
Resort Hotel,0,59,2017,April,15,6,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,F,0,No Deposit,33.0,179.0,0,Contract,206.71,0,0,Check-Out,Joseph Perez,howarddavid@example.org,+1-556-949-9702x3865,4543052861254,2026-01-21
City Hotel,1,97,2017,October,43,25,0,2,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,Non Refund,13.0,45.0,0,Transient,64.4,0,0,Canceled,Karen Perez,weaverjimmy@example.net,(621)784-5863,4387867087896558,2026-01-27
City Hotel,0,52,2017,November,46,13,1,1,1,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,E,A,0,No Deposit,9.0,179.0,0,Transient,105.86,0,0,Check-Out,Kevin Cruz,patrick08@example.net,929-686-5866x7687,5578231188959805,2024-11-25
City Hotel,0,20,2017,March,10,5,2,4,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,B,B,1,No Deposit,9.0,179.0,0,Contract,135.89,0,3,Check-Out,Amber Spencer,carterpatrick@example.com,001-365-757-6558,3503583833648752,2024-05-02
Resort Hotel,0,0,2017,October,43,21,0,1,2,0.0,0,HB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,12.0,179.0,0,Transient,43.56,1,0,Check-Out,Madison Richardson,houstonalexis@example.org,796-513-2438,4661454046052164,2025-12-21
City Hotel,0,94,2017,March,11,16,2,4,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,179.0,0,Transient,104.8,0,0,Check-Out,Jose Collins,theodore82@example.com,(600)854-4963x417,4808926389638,2024-04-22
Resort Hotel,0,77,2017,January,2,2,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,78.0,179.0,0,Transient,103.2,1,1,Check-Out,Justin Potter,ksummers@example.net,2975663025,36961232503178,2025-03-16
City Hotel,0,0,2017,September,38,21,0,2,3,0.0,0,BB,BRA,Direct,Direct,0,0,0,H,D,0,No Deposit,10.0,179.0,0,Transient,48.1,0,1,Check-Out,Sherry Cox,mackrebecca@example.org,(586)461-9410x147,3599444140781833,2026-01-24
City Hotel,1,44,2017,April,15,11,2,4,2,0.0,0,SC,,Online TA,TA/TO,0,0,0,D,A,0,No Deposit,7.0,179.0,0,Transient,132.02,0,0,Canceled,Tiffany Williams,gibbsrobert@example.org,001-828-581-1826x343,6532291091702547,2025-02-11
City Hotel,0,4,2017,October,43,26,0,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,6.0,179.0,0,Transient,81.24,0,2,Check-Out,Jessica Torres,orobertson@example.net,+1-836-958-9804x373,372641785208027,2026-01-02
Resort Hotel,0,97,2017,January,2,1,4,7,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,E,E,1,No Deposit,378.0,179.0,0,Transient,138.94,0,2,Check-Out,Matthew Morgan,steven60@example.org,001-618-611-0015,213118159877672,2024-04-25
City Hotel,1,82,2017,December,50,15,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,134.0,179.0,42,Transient,141.1,0,0,Canceled,Craig Beard,mvaughan@example.org,979.862.9690x6858,6011881415326724,2024-08-06
City Hotel,1,74,2017,January,3,19,2,3,2,0.0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,72.0,179.0,0,Transient,137.68,0,3,Canceled,Tony Moore,wsmith@example.org,581-454-6329,2720992617044931,2024-04-05
City Hotel,1,15,2017,March,12,21,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,80.0,179.0,0,Transient,83.43,0,0,Canceled,Jillian Carrillo,haleyyoder@example.com,001-658-784-7607x99837,3577692223870768,2024-09-19
Resort Hotel,0,236,2017,January,3,14,0,4,2,0.0,0,HB,SWE,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,283.0,179.0,0,Transient-Party,50.23,0,0,Check-Out,Nancy Rowland,longtammy@example.org,001-474-768-3336,4050080183230,2025-05-12
City Hotel,1,14,2017,October,43,24,2,2,1,0.0,0,SC,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,160.0,179.0,0,Transient,35.31,0,0,Canceled,Lisa Ochoa,judymueller@example.org,3106052474,4696421471925042686,2025-12-18
Resort Hotel,1,258,2017,December,2,30,2,3,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,Non Refund,11.0,179.0,0,Transient,98.62,0,0,Canceled,Jeffrey Ayala,eric41@example.net,689-211-7823,5543504435568518,2024-08-24
City Hotel,0,8,2017,January,5,28,0,2,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,A,0,No Deposit,22.0,179.0,0,Transient,135.03,0,2,Check-Out,Dana Carter,qfranklin@example.net,(821)593-3596x17153,4660991635910,2024-10-25
Resort Hotel,0,48,2017,January,2,8,2,5,1,0.0,0,BB,NLD,Corporate,Direct,0,0,0,A,A,1,No Deposit,342.0,222.0,0,Transient-Party,49.45,0,0,Check-Out,Natalie Burns,ryan46@example.net,001-998-649-2522x1040,373996600170821,2024-08-26
Resort Hotel,0,42,2017,June,23,5,2,6,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,A,0,No Deposit,241.0,179.0,0,Transient,46.27,1,2,Check-Out,Sean Peters,zgray@example.net,220.767.0040,6553912302831163,2025-09-16
Resort Hotel,0,38,2017,May,18,5,2,0,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,312.0,179.0,0,Transient-Party,46.28,0,0,Check-Out,Christopher Jones,robert14@example.org,(997)707-7858,370768874915303,2024-12-21
Resort Hotel,0,12,2017,March,13,25,1,4,2,0.0,0,BB,CHE,Direct,Direct,0,0,0,D,D,0,No Deposit,16.0,179.0,0,Transient,133.32,1,0,Check-Out,Miguel Pena,alan00@example.net,234.567.7047,3549973581096336,2024-05-21
Resort Hotel,1,110,2017,October,40,5,2,5,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,137.0,179.0,0,Contract,49.65,0,0,No-Show,Ryan Lawson,lewisshelley@example.com,+1-968-692-0973x04764,6011867967453131,2026-02-26
City Hotel,0,422,2017,May,19,8,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,71.0,179.0,0,Transient,160.58,0,0,Check-Out,David Williams,james84@example.com,(980)633-5573x732,4322353722796030,2024-09-26
City Hotel,1,186,2017,January,4,26,2,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,34.0,179.0,0,Transient,82.67,0,0,No-Show,Mark Johnson,smiththomas@example.net,646.812.0032x094,5260348703402252,2024-12-13
City Hotel,0,406,2017,March,10,10,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,22.0,179.0,18,Transient,87.5,0,0,Check-Out,Rebecca Perez,jameswhite@example.com,689.750.0288x033,4584842106378,2025-06-17
City Hotel,1,85,2017,December,49,4,1,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,23.0,179.0,65,Transient,95.15,0,0,No-Show,Kathryn Thomas,jeffreysimmons@example.org,591-764-2567x3601,2221925079974454,2025-06-24
Resort Hotel,0,150,2017,November,48,26,1,1,2,0.0,0,BB,GBR,Groups,Direct,0,0,0,A,A,0,Refundable,15.0,220.0,0,Transient-Party,84.36,0,0,Check-Out,Crystal Abbott,monicaclark@example.org,336.530.6041x50024,676368718489,2025-06-17
Resort Hotel,0,90,2017,December,49,8,1,3,2,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,H,H,1,No Deposit,240.0,179.0,0,Transient,138.8,1,1,Check-Out,Alexandra Hodge,mark15@example.com,(305)469-1191x360,2401783596873630,2025-07-11
City Hotel,1,158,2017,February,7,10,0,2,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,E,E,0,Non Refund,241.0,179.0,0,Transient,136.16,0,0,Canceled,Rachel Yang,ruizrichard@example.com,(727)530-1667x3822,2534206490909326,2024-08-28
City Hotel,0,33,2017,April,17,27,2,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,8.0,179.0,0,Transient,238.13,0,1,Check-Out,Michelle Sanders,blutz@example.org,6552528405,3542936035143720,2025-09-27
City Hotel,0,30,2017,February,8,19,0,2,2,0.0,0,BB,RUS,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,7.0,179.0,0,Transient,162.93,0,0,Check-Out,Dustin Stein,halebrent@example.org,373-373-1760x3648,3510106216438608,2024-11-24
City Hotel,0,1,2017,May,21,23,0,1,1,0.0,0,BB,CN,Direct,Direct,0,0,0,A,G,0,No Deposit,184.0,179.0,0,Transient,226.34,0,3,Check-Out,Haley Jackson,carmen18@example.com,580-430-5802,4746319037290652,2025-09-13
City Hotel,1,105,2017,August,32,5,0,2,2,0.0,0,FB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,11.0,179.0,75,Transient,87.52,0,2,No-Show,Thomas Moses,dawnadams@example.net,756.703.5682,4786788271075535,2025-07-02
Resort Hotel,0,1,2017,January,2,4,1,0,1,0.0,0,BB,PRT,Corporate,TA/TO,0,0,1,A,A,0,No Deposit,12.0,179.0,0,Transient,90.64,1,2,Check-Out,Jeffrey Petersen,cindygarrett@example.org,001-418-598-5399,213110862500493,2026-01-12
City Hotel,0,29,2017,April,15,12,2,2,2,0.0,0,SC,,Direct,Direct,0,0,0,A,A,0,No Deposit,11.0,179.0,0,Transient,141.21,0,1,Check-Out,Joseph Ward,william91@example.com,377.516.4375,676247036194,2024-10-09
City Hotel,1,160,2017,August,32,7,2,7,2,0.0,0,BB,,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,13.0,179.0,0,Transient-Party,87.33,0,0,No-Show,Lance Robinson,andersontara@example.net,821.601.3953x848,676307947926,2025-09-21
City Hotel,0,24,2017,June,25,20,0,2,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,270.0,179.0,0,Transient,103.71,0,2,Check-Out,Kristen Smith,ostuart@example.org,001-620-429-0842x913,2609967039328217,2025-04-13
City Hotel,1,139,2017,October,41,9,2,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,32.0,179.0,0,Transient-Party,124.0,0,0,No-Show,Nicole Mcbride,tara55@example.net,001-250-440-6584x4360,6557682001199875,2025-01-14
Resort Hotel,0,144,2017,March,10,4,3,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,245.0,179.0,0,Transient,127.36,0,0,Check-Out,Daisy Larson,wongwesley@example.com,773.933.1002,371070061938878,2024-10-17
Resort Hotel,0,155,2017,November,48,25,2,2,2,0.0,0,HB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,239.0,179.0,0,Transient,101.95,0,1,No-Show,Jesus Shaw,dbarton@example.com,001-881-574-2496x3233,3562636489473996,2025-07-09
Resort Hotel,1,46,2017,December,51,20,2,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,238.0,179.0,0,Transient-Party,50.36,0,1,Canceled,Shelly Moss,arroyojason@example.net,795-822-3499x3672,503806656180,2024-06-20
City Hotel,1,444,2017,January,2,3,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,Non Refund,8.0,179.0,0,Transient,133.53,0,0,Canceled,Laura Coleman,jillarnold@example.org,001-857-825-2942,630470706759,2024-07-17
City Hotel,0,0,2017,August,34,23,1,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,10.0,179.0,0,Transient-Party,83.04,0,1,Check-Out,Kayla Moore,vbrown@example.net,+1-724-981-8211x031,4852318987634040104,2025-12-24
City Hotel,0,44,2017,July,27,6,0,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,30.0,179.0,0,Transient,78.73,0,0,Check-Out,Melissa Brown,joshua68@example.net,2883203782,180044135082071,2025-05-11
Resort Hotel,0,3,2017,November,47,22,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,1,0,0,A,A,0,No Deposit,244.0,179.0,0,Transient,42.84,1,1,Check-Out,Emily Riley MD,allen38@example.org,001-263-712-5908x281,4322334805300,2026-03-11
City Hotel,0,15,2017,November,46,14,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,1,1,A,A,0,No Deposit,14.0,45.0,0,Transient,62.41,0,1,Check-Out,Donald Cole,williamespinoza@example.net,(436)363-0078x27349,4144458042018217,2024-06-06
City Hotel,0,265,2017,November,45,10,2,2,2,0.0,0,HB,ISR,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,10.0,179.0,0,Transient-Party,105.71,0,1,Check-Out,James Johnson,melissa84@example.org,912-602-7150,3501557017490993,2025-11-10
Resort Hotel,0,17,2017,May,19,9,2,5,3,0.0,0,HB,BEL,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,239.0,179.0,0,Transient,129.39,0,1,Check-Out,Nicholas George,eugenepowell@example.com,928.413.0880,4504967818923800,2024-10-13
City Hotel,0,36,2017,May,19,9,1,2,2,0.0,0,HB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,179.0,0,Transient,86.07,1,1,Check-Out,Jane King,shawn17@example.com,824.373.9523x167,3516036630839178,2024-12-14
City Hotel,0,61,2017,April,16,16,1,1,2,1.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,11.0,179.0,0,Transient,144.52,0,1,Check-Out,Tanner Decker,jeremyharrell@example.net,(569)917-8663,3586340795853726,2025-08-15
City Hotel,0,172,2017,February,6,7,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,179.0,0,Transient,136.78,0,0,Check-Out,Leslie Martin,jonesrobert@example.org,921-624-3249x19349,5518134676758130,2024-11-12
City Hotel,0,21,2017,April,17,26,1,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,7.0,179.0,0,Transient,109.15,0,2,Check-Out,Keith Garcia,swilliams@example.net,001-978-708-6238,4050789685807272,2025-01-25
City Hotel,1,135,2017,September,37,15,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,H,G,1,No Deposit,8.0,179.0,0,Transient,111.63,0,1,Canceled,Victoria Keller,emiller@example.net,8474807830,2388489102329144,2025-02-06
Resort Hotel,0,0,2017,January,2,8,1,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,243.0,179.0,0,Transient,41.11,0,1,Check-Out,Mr. Robert Acevedo MD,christianjohnson@example.org,001-263-597-8416x609,4655867223207467,2025-01-22
City Hotel,0,40,2017,January,2,8,0,3,1,0.0,0,BB,,Direct,Direct,0,0,0,A,A,2,No Deposit,13.0,179.0,0,Transient,103.43,0,0,Check-Out,Ms. Kayla Williams,pmartin@example.com,+1-641-519-8162x503,6011051741078221,2024-07-13
City Hotel,1,99,2017,November,45,4,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,Non Refund,11.0,179.0,0,Transient,72.39,0,0,Canceled,Tammy Jackson,xedwards@example.net,001-614-291-4370,3532213136420908,2025-04-24
City Hotel,1,96,2017,December,2,30,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,70.0,179.0,0,Transient,133.18,0,0,Canceled,Robert Smith,hamiltonandrew@example.org,+1-484-826-7804x04102,4169693416500194583,2025-08-06
City Hotel,1,61,2017,February,6,8,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,7.0,179.0,0,Transient,103.42,0,0,Canceled,Stephen Smith,yjensen@example.org,993-597-3144,6011273074915312,2025-07-20
City Hotel,1,3,2017,January,4,22,1,0,2,0.0,0,BB,PRT,Corporate,Corporate,0,1,0,A,A,0,Non Refund,14.0,331.0,0,Transient,64.74,0,0,Canceled,Jasmin Hamilton,patrick11@example.net,(209)965-2782x98510,2478691575452078,2026-01-07
Resort Hotel,1,96,2017,July,28,10,2,5,2,1.0,0,BB,IRL,Online TA,TA/TO,0,1,0,G,F,0,No Deposit,239.0,179.0,0,Transient,52.9,0,3,Canceled,Thomas Romero,andreaanderson@example.org,(553)364-4816x3935,4931412445269365707,2024-11-04
City Hotel,1,154,2017,January,2,7,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,242.0,179.0,0,Transient,103.49,0,0,Canceled,Megan Grant,benitezlawrence@example.com,+1-585-551-2114x79972,4693696914931471,2025-08-14
City Hotel,0,1,2017,May,20,19,0,1,2,0.0,0,BB,PRT,Online TA,Direct,0,0,0,A,A,0,No Deposit,12.0,179.0,0,Transient,51.61,0,0,Check-Out,Karen Hughes,jeffrey83@example.org,857.554.2281x528,4014612246592,2025-09-26
Resort Hotel,0,147,2017,November,48,29,1,3,2,0.0,0,BB,PRT,Groups,Direct,0,0,0,A,C,0,Refundable,12.0,222.0,0,Transient-Party,65.68,0,0,Check-Out,Bradley Phillips,mmorris@example.net,998-533-3592,4110973885596,2025-03-20
City Hotel,0,43,2017,April,14,5,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9.0,179.0,0,Group,215.5,0,2,Check-Out,Robert Roberts,qgonzalez@example.net,574.833.7690,4223813975327,2025-06-13
City Hotel,1,79,2017,June,25,22,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,83.0,179.0,23,Transient,96.28,0,0,Canceled,Cynthia Tran,waltervargas@example.net,(304)995-4286x4043,4274644233483704793,2025-09-13
Resort Hotel,1,16,2017,February,6,10,0,3,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,1,A,A,0,No Deposit,12.0,65.0,0,Transient,106.82,0,2,Canceled,Marie Davidson,blackrichard@example.net,802.209.3848x98794,6011241942362660,2024-05-19
City Hotel,0,19,2017,August,34,20,0,1,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,179.0,0,Transient,85.19,0,2,Check-Out,Jordan Williams,zflores@example.net,+1-456-773-7275x351,4834248944917607,2024-08-06
City Hotel,0,33,2017,May,18,5,0,1,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,H,0,No Deposit,71.0,179.0,0,Contract,105.72,0,1,Check-Out,Mr. Paul Chase,urobinson@example.net,930-683-1640x940,676315749611,2025-08-13
City Hotel,1,283,2017,February,7,14,1,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,10.0,179.0,0,Transient-Party,94.17,0,0,Canceled,Chloe Parker,lauren64@example.net,714.391.3593x45641,6592388489828822,2024-07-18
City Hotel,1,12,2017,November,48,25,1,0,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,A,1,No Deposit,9.0,179.0,0,Transient,91.31,0,1,Canceled,Leah Collier,geraldperry@example.net,001-314-537-9457x33201,3501211788682947,2025-01-08
City Hotel,1,13,2017,October,42,15,0,3,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,11.0,179.0,0,Transient,82.03,0,0,Canceled,Amanda Gonzalez,matthewcooper@example.org,437-575-7165x787,213176628900426,2024-11-03
City Hotel,1,253,2017,June,22,2,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,83.0,179.0,0,Transient,97.96,0,0,Canceled,Alice Conley,smithlauren@example.com,959.287.6430,4760994221237,2025-12-24
Resort Hotel,0,16,2017,April,17,24,1,5,2,1.0,0,HB,AUT,Direct,Direct,0,0,1,E,I,3,No Deposit,14.0,179.0,75,Transient-Party,167.22,1,3,Check-Out,Clarence Wood,beckjean@example.com,(611)470-2731x46575,584510087110,2024-06-25
Resort Hotel,0,142,2017,November,48,29,1,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,179.0,0,Transient,43.74,0,2,Check-Out,Terri Cisneros,richard34@example.net,682-865-5397,6561644751763585,2024-08-13
City Hotel,1,3,2017,April,17,25,0,1,3,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,179.0,0,Transient-Party,62.5,0,0,Canceled,Jessica Jones,christina08@example.net,001-419-521-3175x30161,36015185525413,2024-12-09
